"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2015) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes"
"idBank";"010537233";""
"Dernière mise à jour";"05/04/2023 08:45";""
"Période";"";""
"1990-01";"83.72";"A"
"1990-02";"89.58";"A"
"1990-03";"90.0";"A"
"1990-04";"91.38";"A"
"1990-05";"93.83";"A"
"1990-06";"89.75";"A"
"1990-07";"90.66";"A"
"1990-08";"90.72";"A"
"1990-09";"89.03";"A"
"1990-10";"90.33";"A"
"1990-11";"89.58";"A"
"1990-12";"91.83";"A"
"1991-01";"94.63";"A"
"1991-02";"94.78";"A"
"1991-03";"93.87";"A"
"1991-04";"94.25";"A"
"1991-05";"92.62";"A"
"1991-06";"91.8";"A"
"1991-07";"92.41";"A"
"1991-08";"92.71";"A"
"1991-09";"91.94";"A"
"1991-10";"92.24";"A"
"1991-11";"92.8";"A"
"1991-12";"92.02";"A"
"1992-01";"92.74";"A"
"1992-02";"93.13";"A"
"1992-03";"93.39";"A"
"1992-04";"94.37";"A"
"1992-05";"93.32";"A"
"1992-06";"93.61";"A"
"1992-07";"92.89";"A"
"1992-08";"90.27";"A"
"1992-09";"91.81";"A"
"1992-10";"90.8";"A"
"1992-11";"91.78";"A"
"1992-12";"92.18";"A"
"1993-01";"89.99";"A"
"1993-02";"91.45";"A"
"1993-03";"90.68";"A"
"1993-04";"90.44";"A"
"1993-05";"88.46";"A"
"1993-06";"90.23";"A"
"1993-07";"90.4";"A"
"1993-08";"91.1";"A"
"1993-09";"93.42";"A"
"1993-10";"91.36";"A"
"1993-11";"90.79";"A"
"1993-12";"89.16";"A"
"1994-01";"90.25";"A"
"1994-02";"89.63";"A"
"1994-03";"89.38";"A"
"1994-04";"89.17";"A"
"1994-05";"89.67";"A"
"1994-06";"90.3";"A"
"1994-07";"92.36";"A"
"1994-08";"98.04";"A"
"1994-09";"91.32";"A"
"1994-10";"91.38";"A"
"1994-11";"93.0";"A"
"1994-12";"92.77";"A"
"1995-01";"92.76";"A"
"1995-02";"92.68";"A"
"1995-03";"91.61";"A"
"1995-04";"92.91";"A"
"1995-05";"94.17";"A"
"1995-06";"95.17";"A"
"1995-07";"91.73";"A"
"1995-08";"93.92";"A"
"1995-09";"94.31";"A"
"1995-10";"94.61";"A"
"1995-11";"93.64";"A"
"1995-12";"93.24";"A"
"1996-01";"94.26";"A"
"1996-02";"95.39";"A"
"1996-03";"94.1";"A"
"1996-04";"94.24";"A"
"1996-05";"97.58";"A"
"1996-06";"94.23";"A"
"1996-07";"95.89";"A"
"1996-08";"95.97";"A"
"1996-09";"95.98";"A"
"1996-10";"96.13";"A"
"1996-11";"94.87";"A"
"1996-12";"97.41";"A"
"1997-01";"95.61";"A"
"1997-02";"96.16";"A"
"1997-03";"95.72";"A"
"1997-04";"99.09";"A"
"1997-05";"97.8";"A"
"1997-06";"97.28";"A"
"1997-07";"95.36";"A"
"1997-08";"98.12";"A"
"1997-09";"99.11";"A"
"1997-10";"100.56";"A"
"1997-11";"99.62";"A"
"1997-12";"102.13";"A"
"1998-01";"101.34";"A"
"1998-02";"99.97";"A"
"1998-03";"99.86";"A"
"1998-04";"98.31";"A"
"1998-05";"97.69";"A"
"1998-06";"97.61";"A"
"1998-07";"100.08";"A"
"1998-08";"96.76";"A"
"1998-09";"96.83";"A"
"1998-10";"97.51";"A"
"1998-11";"95.28";"A"
"1998-12";"96.91";"A"
"1999-01";"98.5";"A"
"1999-02";"97.22";"A"
"1999-03";"98.34";"A"
"1999-04";"96.14";"A"
"1999-05";"96.56";"A"
"1999-06";"98.06";"A"
"1999-07";"98.54";"A"
"1999-08";"96.2";"A"
"1999-09";"99.29";"A"
"1999-10";"100.7";"A"
"1999-11";"100.72";"A"
"1999-12";"95.06";"A"
"2000-01";"94.45";"A"
"2000-02";"95.66";"A"
"2000-03";"96.39";"A"
"2000-04";"97.7";"A"
"2000-05";"97.68";"A"
"2000-06";"96.0";"A"
"2000-07";"98.49";"A"
"2000-08";"98.78";"A"
"2000-09";"97.3";"A"
"2000-10";"97.22";"A"
"2000-11";"96.07";"A"
"2000-12";"97.86";"A"
"2001-01";"94.31";"A"
"2001-02";"96.23";"A"
"2001-03";"94.73";"A"
"2001-04";"99.47";"A"
"2001-05";"99.77";"A"
"2001-06";"98.3";"A"
"2001-07";"97.64";"A"
"2001-08";"98.97";"A"
"2001-09";"99.08";"A"
"2001-10";"99.79";"A"
"2001-11";"98.09";"A"
"2001-12";"100.01";"A"
"2002-01";"99.86";"A"
"2002-02";"100.73";"A"
"2002-03";"101.38";"A"
"2002-04";"98.81";"A"
"2002-05";"100.39";"A"
"2002-06";"97.93";"A"
"2002-07";"97.65";"A"
"2002-08";"101.41";"A"
"2002-09";"98.7";"A"
"2002-10";"98.89";"A"
"2002-11";"99.3";"A"
"2002-12";"98.75";"A"
"2003-01";"98.29";"A"
"2003-02";"97.89";"A"
"2003-03";"98.41";"A"
"2003-04";"99.33";"A"
"2003-05";"97.8";"A"
"2003-06";"98.52";"A"
"2003-07";"98.09";"A"
"2003-08";"95.19";"A"
"2003-09";"98.63";"A"
"2003-10";"97.33";"A"
"2003-11";"96.88";"A"
"2003-12";"98.46";"A"
"2004-01";"98.93";"A"
"2004-02";"97.64";"A"
"2004-03";"97.94";"A"
"2004-04";"96.83";"A"
"2004-05";"95.59";"A"
"2004-06";"97.75";"A"
"2004-07";"98.77";"A"
"2004-08";"96.13";"A"
"2004-09";"97.37";"A"
"2004-10";"97.11";"A"
"2004-11";"97.95";"A"
"2004-12";"95.92";"A"
"2005-01";"96.66";"A"
"2005-02";"95.86";"A"
"2005-03";"95.5";"A"
"2005-04";"95.48";"A"
"2005-05";"95.69";"A"
"2005-06";"95.52";"A"
"2005-07";"94.83";"A"
"2005-08";"97.06";"A"
"2005-09";"96.88";"A"
"2005-10";"96.66";"A"
"2005-11";"97.68";"A"
"2005-12";"96.33";"A"
"2006-01";"94.72";"A"
"2006-02";"95.07";"A"
"2006-03";"96.66";"A"
"2006-04";"96.35";"A"
"2006-05";"97.06";"A"
"2006-06";"95.2";"A"
"2006-07";"97.54";"A"
"2006-08";"97.21";"A"
"2006-09";"96.36";"A"
"2006-10";"97.32";"A"
"2006-11";"96.89";"A"
"2006-12";"97.75";"A"
"2007-01";"97.54";"A"
"2007-02";"97.44";"A"
"2007-03";"97.61";"A"
"2007-04";"99.52";"A"
"2007-05";"98.76";"A"
"2007-06";"98.54";"A"
"2007-07";"97.81";"A"
"2007-08";"100.35";"A"
"2007-09";"97.33";"A"
"2007-10";"99.89";"A"
"2007-11";"99.24";"A"
"2007-12";"100.15";"A"
"2008-01";"99.01";"A"
"2008-02";"98.87";"A"
"2008-03";"98.37";"A"
"2008-04";"99.04";"A"
"2008-05";"96.76";"A"
"2008-06";"95.99";"A"
"2008-07";"98.05";"A"
"2008-08";"97.0";"A"
"2008-09";"97.97";"A"
"2008-10";"97.5";"A"
"2008-11";"94.96";"A"
"2008-12";"99.22";"A"
"2009-01";"96.49";"A"
"2009-02";"97.68";"A"
"2009-03";"97.4";"A"
"2009-04";"96.85";"A"
"2009-05";"98.77";"A"
"2009-06";"98.62";"A"
"2009-07";"98.44";"A"
"2009-08";"96.87";"A"
"2009-09";"97.64";"A"
"2009-10";"96.08";"A"
"2009-11";"97.81";"A"
"2009-12";"96.23";"A"
"2010-01";"98.62";"A"
"2010-02";"98.02";"A"
"2010-03";"98.57";"A"
"2010-04";"96.82";"A"
"2010-05";"98.61";"A"
"2010-06";"97.73";"A"
"2010-07";"98.96";"A"
"2010-08";"97.39";"A"
"2010-09";"98.75";"A"
"2010-10";"98.95";"A"
"2010-11";"98.92";"A"
"2010-12";"96.95";"A"
"2011-01";"101.13";"A"
"2011-02";"100.83";"A"
"2011-03";"102.13";"A"
"2011-04";"100.2";"A"
"2011-05";"100.03";"A"
"2011-06";"102.58";"A"
"2011-07";"103.7";"A"
"2011-08";"100.95";"A"
"2011-09";"101.49";"A"
"2011-10";"101.41";"A"
"2011-11";"101.74";"A"
"2011-12";"99.24";"A"
"2012-01";"99.9";"A"
"2012-02";"100.45";"A"
"2012-03";"100.86";"A"
"2012-04";"101.23";"A"
"2012-05";"101.54";"A"
"2012-06";"101.46";"A"
"2012-07";"100.68";"A"
"2012-08";"100.98";"A"
"2012-09";"100.51";"A"
"2012-10";"101.78";"A"
"2012-11";"100.65";"A"
"2012-12";"101.03";"A"
"2013-01";"99.84";"A"
"2013-02";"100.29";"A"
"2013-03";"99.83";"A"
"2013-04";"100.44";"A"
"2013-05";"102.18";"A"
"2013-06";"96.01";"A"
"2013-07";"97.95";"A"
"2013-08";"99.22";"A"
"2013-09";"98.67";"A"
"2013-10";"99.45";"A"
"2013-11";"100.58";"A"
"2013-12";"100.9";"A"
"2014-01";"99.58";"A"
"2014-02";"100.29";"A"
"2014-03";"97.89";"A"
"2014-04";"101.0";"A"
"2014-05";"99.0";"A"
"2014-06";"99.5";"A"
"2014-07";"99.81";"A"
"2014-08";"99.4";"A"
"2014-09";"100.17";"A"
"2014-10";"98.84";"A"
"2014-11";"97.36";"A"
"2014-12";"99.09";"A"
"2015-01";"98.74";"A"
"2015-02";"98.55";"A"
"2015-03";"99.82";"A"
"2015-04";"99.89";"A"
"2015-05";"99.82";"A"
"2015-06";"101.19";"A"
"2015-07";"100.25";"A"
"2015-08";"100.21";"A"
"2015-09";"100.62";"A"
"2015-10";"100.99";"A"
"2015-11";"100.03";"A"
"2015-12";"99.9";"A"
"2016-01";"100.32";"A"
"2016-02";"99.64";"A"
"2016-03";"99.63";"A"
"2016-04";"98.22";"A"
"2016-05";"98.33";"A"
"2016-06";"98.4";"A"
"2016-07";"99.41";"A"
"2016-08";"99.77";"A"
"2016-09";"99.69";"A"
"2016-10";"98.4";"A"
"2016-11";"99.66";"A"
"2016-12";"99.55";"A"
"2017-01";"98.38";"A"
"2017-02";"99.05";"A"
"2017-03";"99.19";"A"
"2017-04";"98.22";"A"
"2017-05";"99.76";"A"
"2017-06";"98.27";"A"
"2017-07";"99.34";"A"
"2017-08";"100.23";"A"
"2017-09";"100.23";"A"
"2017-10";"99.51";"A"
"2017-11";"99.88";"A"
"2017-12";"99.68";"A"
"2018-01";"99.38";"A"
"2018-02";"98.92";"A"
"2018-03";"100.38";"A"
"2018-04";"100.19";"A"
"2018-05";"100.21";"A"
"2018-06";"99.03";"A"
"2018-07";"99.44";"A"
"2018-08";"99.66";"A"
"2018-09";"98.32";"A"
"2018-10";"99.14";"A"
"2018-11";"98.24";"A"
"2018-12";"99.97";"A"
"2019-01";"100.09";"A"
"2019-02";"99.71";"A"
"2019-03";"98.75";"A"
"2019-04";"100.73";"A"
"2019-05";"99.84";"A"
"2019-06";"99.52";"A"
"2019-07";"98.54";"A"
"2019-08";"98.64";"A"
"2019-09";"100.51";"A"
"2019-10";"100.31";"A"
"2019-11";"99.21";"A"
"2019-12";"99.51";"A"
"2020-01";"100.49";"A"
"2020-02";"102.07";"A"
"2020-03";"99.88";"A"
"2020-04";"96.12";"A"
"2020-05";"97.19";"A"
"2020-06";"99.77";"A"
"2020-07";"100.38";"A"
"2020-08";"98.97";"A"
"2020-09";"100.17";"A"
"2020-10";"99.64";"A"
"2020-11";"99.5";"A"
"2020-12";"98.97";"A"
"2021-01";"101.07";"A"
"2021-02";"98.94";"A"
"2021-03";"100.47";"A"
"2021-04";"99.82";"A"
"2021-05";"100.02";"A"
"2021-06";"100.62";"A"
"2021-07";"103.33";"A"
"2021-08";"101.32";"A"
"2021-09";"101.68";"A"
"2021-10";"102.36";"A"
"2021-11";"101.88";"A"
"2021-12";"101.03";"A"
"2022-01";"102.33";"A"
"2022-02";"102.01";"A"
"2022-03";"101.06";"A"
"2022-04";"99.03";"A"
"2022-05";"98.88";"A"
"2022-06";"100.91";"A"
"2022-07";"100.63";"A"
"2022-08";"99.77";"A"
"2022-09";"99.48";"A"
"2022-10";"100.33";"A"
"2022-11";"100.4";"A"
"2022-12";"99.04";"A"
"2023-01";"97.53";"A"
"2023-02";"98.87";"A"
