"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2015) - Industrie pharmaceutique (NAF rév. 2, niveau division, poste 21)";"Codes"
"idBank";"010537471";""
"Dernière mise à jour";"03/03/2023 08:45";""
"Période";"";""
"1990-01";"33.83";"A"
"1990-02";"30.6";"A"
"1990-03";"37.02";"A"
"1990-04";"35.44";"A"
"1990-05";"36.61";"A"
"1990-06";"36.06";"A"
"1990-07";"34.26";"A"
"1990-08";"36.58";"A"
"1990-09";"35.69";"A"
"1990-10";"36.61";"A"
"1990-11";"36.35";"A"
"1990-12";"36.11";"A"
"1991-01";"36.76";"A"
"1991-02";"37.59";"A"
"1991-03";"36.77";"A"
"1991-04";"37.77";"A"
"1991-05";"37.05";"A"
"1991-06";"37.32";"A"
"1991-07";"37.08";"A"
"1991-08";"38.03";"A"
"1991-09";"38.12";"A"
"1991-10";"38.99";"A"
"1991-11";"38.72";"A"
"1991-12";"40.38";"A"
"1992-01";"39.68";"A"
"1992-02";"40.13";"A"
"1992-03";"39.11";"A"
"1992-04";"41.27";"A"
"1992-05";"41.5";"A"
"1992-06";"41.18";"A"
"1992-07";"42.03";"A"
"1992-08";"43.77";"A"
"1992-09";"38.91";"A"
"1992-10";"41.23";"A"
"1992-11";"41.86";"A"
"1992-12";"40.85";"A"
"1993-01";"43.16";"A"
"1993-02";"43.35";"A"
"1993-03";"44.01";"A"
"1993-04";"41.72";"A"
"1993-05";"42.06";"A"
"1993-06";"43.29";"A"
"1993-07";"42.89";"A"
"1993-08";"41.76";"A"
"1993-09";"44.04";"A"
"1993-10";"43.07";"A"
"1993-11";"44.04";"A"
"1993-12";"46.13";"A"
"1994-01";"42.01";"A"
"1994-02";"41.76";"A"
"1994-03";"41.96";"A"
"1994-04";"42.81";"A"
"1994-05";"42.84";"A"
"1994-06";"43.76";"A"
"1994-07";"45.01";"A"
"1994-08";"45.51";"A"
"1994-09";"44.88";"A"
"1994-10";"45.73";"A"
"1994-11";"45.85";"A"
"1994-12";"46.43";"A"
"1995-01";"45.31";"A"
"1995-02";"45.6";"A"
"1995-03";"46.93";"A"
"1995-04";"47.05";"A"
"1995-05";"47.85";"A"
"1995-06";"48.0";"A"
"1995-07";"47.52";"A"
"1995-08";"47.36";"A"
"1995-09";"47.9";"A"
"1995-10";"47.58";"A"
"1995-11";"45.75";"A"
"1995-12";"47.94";"A"
"1996-01";"48.59";"A"
"1996-02";"48.2";"A"
"1996-03";"49.34";"A"
"1996-04";"48.7";"A"
"1996-05";"50.76";"A"
"1996-06";"48.81";"A"
"1996-07";"46.0";"A"
"1996-08";"47.43";"A"
"1996-09";"48.48";"A"
"1996-10";"47.72";"A"
"1996-11";"51.14";"A"
"1996-12";"53.64";"A"
"1997-01";"50.38";"A"
"1997-02";"49.39";"A"
"1997-03";"48.84";"A"
"1997-04";"50.39";"A"
"1997-05";"49.26";"A"
"1997-06";"49.06";"A"
"1997-07";"50.33";"A"
"1997-08";"51.75";"A"
"1997-09";"51.04";"A"
"1997-10";"56.25";"A"
"1997-11";"46.39";"A"
"1997-12";"50.72";"A"
"1998-01";"52.56";"A"
"1998-02";"55.58";"A"
"1998-03";"54.26";"A"
"1998-04";"55.22";"A"
"1998-05";"55.73";"A"
"1998-06";"54.98";"A"
"1998-07";"58.16";"A"
"1998-08";"55.17";"A"
"1998-09";"56.26";"A"
"1998-10";"55.4";"A"
"1998-11";"55.92";"A"
"1998-12";"57.12";"A"
"1999-01";"54.25";"A"
"1999-02";"59.51";"A"
"1999-03";"57.73";"A"
"1999-04";"55.41";"A"
"1999-05";"57.36";"A"
"1999-06";"60.93";"A"
"1999-07";"57.78";"A"
"1999-08";"58.4";"A"
"1999-09";"57.15";"A"
"1999-10";"61.06";"A"
"1999-11";"62.19";"A"
"1999-12";"61.19";"A"
"2000-01";"62.93";"A"
"2000-02";"60.51";"A"
"2000-03";"60.94";"A"
"2000-04";"59.24";"A"
"2000-05";"64.94";"A"
"2000-06";"63.42";"A"
"2000-07";"61.56";"A"
"2000-08";"62.0";"A"
"2000-09";"65.05";"A"
"2000-10";"65.66";"A"
"2000-11";"66.02";"A"
"2000-12";"67.75";"A"
"2001-01";"66.34";"A"
"2001-02";"68.08";"A"
"2001-03";"70.39";"A"
"2001-04";"71.69";"A"
"2001-05";"72.72";"A"
"2001-06";"72.03";"A"
"2001-07";"71.55";"A"
"2001-08";"74.22";"A"
"2001-09";"71.01";"A"
"2001-10";"72.14";"A"
"2001-11";"72.13";"A"
"2001-12";"73.1";"A"
"2002-01";"76.6";"A"
"2002-02";"74.82";"A"
"2002-03";"76.3";"A"
"2002-04";"76.5";"A"
"2002-05";"74.16";"A"
"2002-06";"74.46";"A"
"2002-07";"74.59";"A"
"2002-08";"75.68";"A"
"2002-09";"79.3";"A"
"2002-10";"73.89";"A"
"2002-11";"77.57";"A"
"2002-12";"72.87";"A"
"2003-01";"76.39";"A"
"2003-02";"76.41";"A"
"2003-03";"78.37";"A"
"2003-04";"77.49";"A"
"2003-05";"77.11";"A"
"2003-06";"79.64";"A"
"2003-07";"83.59";"A"
"2003-08";"80.61";"A"
"2003-09";"79.14";"A"
"2003-10";"80.16";"A"
"2003-11";"79.99";"A"
"2003-12";"82.42";"A"
"2004-01";"81.91";"A"
"2004-02";"82.76";"A"
"2004-03";"82.37";"A"
"2004-04";"80.69";"A"
"2004-05";"85.38";"A"
"2004-06";"83.24";"A"
"2004-07";"82.07";"A"
"2004-08";"82.99";"A"
"2004-09";"82.33";"A"
"2004-10";"84.1";"A"
"2004-11";"84.46";"A"
"2004-12";"83.87";"A"
"2005-01";"83.39";"A"
"2005-02";"84.93";"A"
"2005-03";"83.12";"A"
"2005-04";"88.64";"A"
"2005-05";"85.8";"A"
"2005-06";"85.61";"A"
"2005-07";"86.59";"A"
"2005-08";"88.69";"A"
"2005-09";"89.23";"A"
"2005-10";"88.0";"A"
"2005-11";"88.67";"A"
"2005-12";"88.38";"A"
"2006-01";"85.26";"A"
"2006-02";"88.47";"A"
"2006-03";"89.96";"A"
"2006-04";"90.98";"A"
"2006-05";"89.24";"A"
"2006-06";"88.37";"A"
"2006-07";"89.97";"A"
"2006-08";"84.52";"A"
"2006-09";"87.7";"A"
"2006-10";"88.45";"A"
"2006-11";"87.77";"A"
"2006-12";"87.28";"A"
"2007-01";"93.29";"A"
"2007-02";"89.59";"A"
"2007-03";"87.39";"A"
"2007-04";"86.93";"A"
"2007-05";"89.18";"A"
"2007-06";"87.78";"A"
"2007-07";"89.41";"A"
"2007-08";"89.6";"A"
"2007-09";"89.97";"A"
"2007-10";"87.59";"A"
"2007-11";"87.45";"A"
"2007-12";"90.04";"A"
"2008-01";"88.61";"A"
"2008-02";"91.87";"A"
"2008-03";"89.81";"A"
"2008-04";"87.84";"A"
"2008-05";"84.96";"A"
"2008-06";"86.98";"A"
"2008-07";"83.19";"A"
"2008-08";"85.04";"A"
"2008-09";"85.52";"A"
"2008-10";"93.95";"A"
"2008-11";"92.05";"A"
"2008-12";"90.51";"A"
"2009-01";"90.84";"A"
"2009-02";"81.14";"A"
"2009-03";"84.53";"A"
"2009-04";"85.24";"A"
"2009-05";"91.38";"A"
"2009-06";"92.66";"A"
"2009-07";"90.27";"A"
"2009-08";"89.3";"A"
"2009-09";"100.58";"A"
"2009-10";"85.2";"A"
"2009-11";"94.55";"A"
"2009-12";"95.75";"A"
"2010-01";"88.84";"A"
"2010-02";"86.19";"A"
"2010-03";"90.75";"A"
"2010-04";"86.31";"A"
"2010-05";"88.66";"A"
"2010-06";"90.36";"A"
"2010-07";"94.01";"A"
"2010-08";"87.23";"A"
"2010-09";"83.0";"A"
"2010-10";"86.43";"A"
"2010-11";"84.3";"A"
"2010-12";"85.93";"A"
"2011-01";"82.68";"A"
"2011-02";"89.64";"A"
"2011-03";"83.29";"A"
"2011-04";"79.89";"A"
"2011-05";"82.41";"A"
"2011-06";"80.02";"A"
"2011-07";"86.28";"A"
"2011-08";"88.88";"A"
"2011-09";"82.83";"A"
"2011-10";"85.59";"A"
"2011-11";"87.83";"A"
"2011-12";"86.6";"A"
"2012-01";"81.21";"A"
"2012-02";"88.37";"A"
"2012-03";"87.31";"A"
"2012-04";"95.41";"A"
"2012-05";"93.8";"A"
"2012-06";"92.9";"A"
"2012-07";"89.12";"A"
"2012-08";"96.86";"A"
"2012-09";"91.09";"A"
"2012-10";"80.53";"A"
"2012-11";"87.09";"A"
"2012-12";"86.3";"A"
"2013-01";"92.11";"A"
"2013-02";"88.12";"A"
"2013-03";"89.21";"A"
"2013-04";"91.46";"A"
"2013-05";"95.17";"A"
"2013-06";"90.66";"A"
"2013-07";"88.2";"A"
"2013-08";"84.87";"A"
"2013-09";"90.56";"A"
"2013-10";"87.7";"A"
"2013-11";"88.23";"A"
"2013-12";"87.85";"A"
"2014-01";"81.25";"A"
"2014-02";"89.28";"A"
"2014-03";"86.15";"A"
"2014-04";"86.33";"A"
"2014-05";"80.51";"A"
"2014-06";"79.92";"A"
"2014-07";"82.09";"A"
"2014-08";"89.56";"A"
"2014-09";"89.53";"A"
"2014-10";"89.52";"A"
"2014-11";"89.48";"A"
"2014-12";"90.27";"A"
"2015-01";"96.88";"A"
"2015-02";"98.9";"A"
"2015-03";"101.28";"A"
"2015-04";"98.7";"A"
"2015-05";"99.95";"A"
"2015-06";"98.32";"A"
"2015-07";"99.17";"A"
"2015-08";"99.92";"A"
"2015-09";"100.8";"A"
"2015-10";"99.75";"A"
"2015-11";"98.52";"A"
"2015-12";"107.81";"A"
"2016-01";"100.49";"A"
"2016-02";"92.84";"A"
"2016-03";"99.29";"A"
"2016-04";"95.97";"A"
"2016-05";"98.48";"A"
"2016-06";"103.77";"A"
"2016-07";"100.05";"A"
"2016-08";"103.08";"A"
"2016-09";"97.92";"A"
"2016-10";"92.99";"A"
"2016-11";"106.41";"A"
"2016-12";"98.47";"A"
"2017-01";"99.75";"A"
"2017-02";"98.18";"A"
"2017-03";"94.53";"A"
"2017-04";"103.16";"A"
"2017-05";"101.0";"A"
"2017-06";"101.78";"A"
"2017-07";"101.28";"A"
"2017-08";"95.62";"A"
"2017-09";"103.21";"A"
"2017-10";"105.21";"A"
"2017-11";"110.3";"A"
"2017-12";"105.33";"A"
"2018-01";"103.09";"A"
"2018-02";"102.88";"A"
"2018-03";"113.26";"A"
"2018-04";"106.73";"A"
"2018-05";"106.41";"A"
"2018-06";"108.6";"A"
"2018-07";"109.04";"A"
"2018-08";"109.35";"A"
"2018-09";"107.19";"A"
"2018-10";"111.07";"A"
"2018-11";"109.17";"A"
"2018-12";"117.35";"A"
"2019-01";"108.73";"A"
"2019-02";"115.63";"A"
"2019-03";"108.26";"A"
"2019-04";"111.86";"A"
"2019-05";"126.21";"A"
"2019-06";"111.2";"A"
"2019-07";"118.19";"A"
"2019-08";"115.69";"A"
"2019-09";"116.34";"A"
"2019-10";"131.2";"A"
"2019-11";"114.59";"A"
"2019-12";"119.77";"A"
"2020-01";"120.48";"A"
"2020-02";"116.13";"A"
"2020-03";"143.92";"A"
"2020-04";"113.33";"A"
"2020-05";"114.94";"A"
"2020-06";"119.01";"A"
"2020-07";"119.26";"A"
"2020-08";"109.22";"A"
"2020-09";"121.44";"A"
"2020-10";"130.94";"A"
"2020-11";"121.99";"A"
"2020-12";"114.02";"A"
"2021-01";"146.59";"A"
"2021-02";"126.1";"A"
"2021-03";"126.27";"A"
"2021-04";"119.52";"A"
"2021-05";"120.63";"A"
"2021-06";"117.29";"A"
"2021-07";"111.59";"A"
"2021-08";"126.37";"A"
"2021-09";"119.17";"A"
"2021-10";"120.48";"A"
"2021-11";"118.32";"A"
"2021-12";"108.14";"A"
"2022-01";"135.97";"A"
"2022-02";"114.47";"A"
"2022-03";"117.56";"A"
"2022-04";"128.1";"A"
"2022-05";"127.82";"A"
"2022-06";"130.51";"A"
"2022-07";"126.3";"A"
"2022-08";"127.66";"A"
"2022-09";"127.47";"A"
"2022-10";"125.34";"A"
"2022-11";"130.97";"A"
"2022-12";"144.58";"A"
"2023-01";"127.85";"A"
